country,Year,geo,value
Britain,2000,poorest,54.359021238991986
Britain,2016,poorest,51.02119758626025
France,2000,poorest,69.8576783413377
France,2015,poorest,61.314462339352524
Germany,2000,poorest,43.498738435660215
Germany,2015,poorest,41.35350692000938
Italy,2000,poorest,51.51840751003789
Italy,2015,poorest,52.85593782008797
South Korea,2000,poorest,65.96060765802463
South Korea,2016,poorest,63.127948534667624
Spain,2000,poorest,63.79807855518212
Spain,2015,poorest,67.9635813748346
Sweden,2000,poorest,79.11103647101632
Sweden,2015,poorest,71.73731397213253
United States,2000,poorest,63.91414085010386
United States,2016,poorest,63.36580398485984
Britain,2000,richest,918.5269829661456
Britain,2016,richest,1193.3931610707102
France,2000,richest,260.4720627855218
France,2015,richest,295.83807819532564
Germany,2000,richest,200.84104289318753
Germany,2015,richest,354.3701618578466
Italy,2000,richest,163.70242605892665
Italy,2015,richest,186.6843405434717
South Korea,2000,richest,220.90861168351944
South Korea,2016,richest,190.987848463188
Spain,2000,richest,138.4798180398547
Spain,2015,richest,153.71432171885832
Sweden,2000,richest,140.46239538724214
Sweden,2015,richest,141.20503150335358
United States,2000,richest,289.87067521386615
United States,2016,richest,324.1070570830211
