country,Year,geo,value
Britain,2000,poorest,84.54749523538493
Britain,2016,poorest,67.11045792831558
France,2000,poorest,77.59557071109154
France,2015,poorest,69.63918956922075
Germany,2000,poorest,61.992052357117956
Germany,2015,poorest,69.638372149961
Italy,2000,poorest,73.63805733040168
Italy,2015,poorest,71.79802422388838
South Korea,2008,poorest,67.15372623208981
South Korea,2016,poorest,65.15053009942365
Spain,2000,poorest,78.60438340008369
Spain,2015,poorest,85.82718575402501
Sweden,2000,poorest,75.66555444711945
Sweden,2015,poorest,71.76355278390415
United States,2000,poorest,72.27196454180067
United States,2016,poorest,71.63999938438883
Britain,2000,richest,147.11914349153696
Britain,2016,richest,177.79833961205986
France,2000,richest,162.8521644868378
France,2015,richest,177.8887938084416
Germany,2000,richest,120.56883201928557
Germany,2015,richest,200.79648853666816
Italy,2000,richest,126.2650195303263
Italy,2015,richest,128.4979413408403
South Korea,2008,richest,217.97612341693346
South Korea,2016,richest,199.47311121261683
Spain,2000,richest,117.62901094709295
Spain,2015,richest,123.68810742281869
Sweden,2000,richest,116.59553513120562
Sweden,2015,richest,122.43527947052355
United States,2000,richest,132.16879608268192
United States,2016,richest,148.7708798315049
